date (UTC),description,moneyIn (Satoshi),moneyOut (Satoshi),tx hash,current balance (Satoshi)
2022-11-14T20:29:08Z,PAYMENT RECEIVED,655111565,0,bd8fcf764aff2a15a37b0278d90d01543eb2b28786b77ff1a24af0cf9c56504d,26124055422
2022-11-14T18:01:07Z,PAYMENT RECEIVED,641679172,0,d0ab533bc70ff28d7858c1199a28b20d369ed359b6d45b3820db389f6930b034,25468943857
2022-11-14T16:20:31Z,PAYMENT RECEIVED,647021846,0,34998a8850d9ae462399834ea39ed9977639831c3f0153b911ba0095ca2200a0,24827264685
2022-11-14T16:06:09Z,PAYMENT RECEIVED,639706710,0,6046ed646cb04ff2c905cb69927da3bb1989e1e36b86bb0b416fb87893dae67c,24180242839
2022-11-14T14:44:35Z,PAYMENT SENT,0,-2598823414,501c828d0a06f6df7b55973b15d10d73ae125e2fd6f37a7ac2a80e01ef241e03,23540536129
2022-11-14T14:12:01Z,PAYMENT RECEIVED,643775890,0,3a133b859e427bd877436aaa7f0a1b2632a8974f7f689f589cf3ce8f76dbf520,26139359543
2022-11-14T13:57:07Z,PAYMENT RECEIVED,635523345,0,9e5b8c4f4a470a368769ba48e596632e2c73f77e2df4e7ad674ac0575cb6c1aa,25495583653
2022-11-14T12:36:11Z,PAYMENT RECEIVED,632288303,0,fc0a89fd9bf6c9a96fda0b4f7904e02827a51c50dfd77764a36a11cca7a4a0a6,24860060308
2022-11-14T12:30:22Z,PAYMENT SENT,0,-1282831067,2b918565378cc3bc9ce8d1308c19fbe04f9cca1f0dde3b9bffa143f4030ae7b4,24227772005
2022-11-14T12:11:24Z,PAYMENT RECEIVED,640882225,0,2d95944625ff0a8be2fc3c7295bb7da1ef5e672c63b3efc40bf56b2c1b7884b6,25510603072
2022-11-14T12:10:58Z,PAYMENT RECEIVED,658326564,0,c749f4c9e596a32e5d1536e3134564f5f82889a9617cdd9071a921513bde2b72,24869720847
2022-11-14T11:05:07Z,PAYMENT RECEIVED,640832052,0,0777df8969ab918a0c056425857de50b3eeaeed3367e87712933010790299493,24211394283
2022-11-14T10:52:55Z,PAYMENT RECEIVED,652573339,0,d3582f8fb2cbcdef0d552c732fc0bb99536bbc32ef4222404f4e7aca9a8ad13b,24860995765
2022-11-14T10:52:55Z,PAYMENT SENT,0,-1290433534,1a9b53a0aa83f85c35b085f56891facbf99cd007b9dd54489c392e5a80f568ca,23570562231
2022-11-14T09:41:12Z,PAYMENT RECEIVED,636610509,0,832104af3a0251fbfe0c33edea1834de2a6f33f72d8f9d84cc32619337bffed2,24208422426
2022-11-14T09:31:12Z,PAYMENT RECEIVED,642955751,0,42276fbc5fbcc55641d6737355589847f8c6a4966c80db50a4aee65cffc2ca2e,23571811917
2022-11-14T09:22:01Z,PAYMENT RECEIVED,640739934,0,4a8a03ef2e741be2114414fbc90a7a2d2de7af47030aa61781a6fa36874d4f4e,22928856166
2022-11-14T08:51:59Z,PAYMENT SENT,0,-2524222631,d2dc090c9a1ea1ca9c1d19188352535acdc0d7fd7d908a6e3ca9c4345e398f4e,22288116232
2022-11-14T07:12:33Z,PAYMENT RECEIVED,627324816,0,0fd55e160159d21d88e57a0a16abe2a0bf60b969a2aa7a916f092662623f8987,24812338863
